Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Arendonk-visput;0;0;4;8;4;9;0;0;0;7;23;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Arendonk 1;0;0;4;8;4;10;0;0;0;6;22;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Arendonk 2;0;0;4;8;3;10;0;0;0;6;22;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Arendonk 2b;0;0;4;8;2;2;0;0;0;14;30;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Arendonk 3;0;0;4;8;3;6;1;0;1;10;26;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Arendonk 4;0;0;4;8;4;6;2;0;2;10;26;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Bospoel;0;0;4;8;1;1;0;0;0;15;31;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Driehoek;0;0;4;8;1;1;0;0;0;15;31;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Griesbroek 3;79;2054;8;15;9;16;615;606;9;16;44;119;2020-05-15;0;0;38;988;Nee;Nee;6;13
Griesbroek 4;56;1456;8;15;8;14;374;368;6;18;46;14;2020-05-15;0;0;10;260;Nee;Nee;4;8
Griesbroek 5;22;572;6;13;8;22;2988;2762;226;2;30;2366;2020-07-23;0;219;259;6734;Nee;Nee;17.508399999999998;26.936
Griesbroek 6;162;4212;8;15;9;45;4849;4775;74;-13;15;438;2020-05-23;0;6;190;4940;Nee;Nee;8;15
Griesbroek 7;6;156;4;8;10;32;226;220;6;-16;0;53;2020-05-16;0;0;25;650;Nee;Nee;6;13
Kasterlee 1;0;0;4;8;3;3;0;0;0;13;29;0;2020-07-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 12;0;0;4;8;3;4;0;0;0;12;28;0;2020-07-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 13;0;0;4;8;3;5;0;0;0;11;27;0;2020-07-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 14;0;0;4;8;3;5;0;0;0;11;27;0;2020-07-09;0;0;0;0;Ja;Ja;4;8
Kasterlee 2;0;0;4;8;3;5;0;0;0;11;27;0;2020-07-09;0;0;0;0;Ja;Ja;4;8
Kasterlee 3;0;0;4;8;4;7;0;0;0;9;25;0;2020-07-09;0;0;0;0;Ja;Ja;4;8
Kasterlee 7;0;0;4;8;3;3;0;0;0;13;29;0;2020-07-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 9;0;0;4;8;1;2;0;0;0;14;30;0;2020-06-18;0;0;0;0;Ja;Ja;4;8
Laakdal 10;0;0;4;8;4;8;25;0;25;8;24;6;2020-07-10;0;6;0;0;Ja;Ja;4;8
Laakdal 2;0;0;4;8;4;16;2;0;2;0;16;0;2020-07-17;0;0;0;0;Ja;Ja;4;8
Laakdal 26;0;0;4;8;3;3;1;0;1;13;29;0;2020-07-30;0;0;0;0;Ja;Ja;4;8
Laakdal 29a;0;0;4;8;2;2;0;0;0;14;30;0;2020-07-08;0;0;0;0;Ja;Ja;4;8
Laakdal 29b;0;0;4;8;2;2;1;0;1;14;30;0;2020-07-08;0;0;0;0;Ja;Ja;4;8
Laakdal 3;0;0;4;8;5;25;28;0;28;-9;7;6;2020-07-10;0;6;0;0;Ja;Ja;4;8
Laakdal 30;0;0;4;8;4;4;2;0;2;12;28;1;2020-07-10;0;1;0;0;Ja;Ja;4;8
Laakdal 30a;0;0;4;8;2;4;0;0;0;12;28;0;2020-07-08;0;0;0;0;Ja;Ja;4;8
Laakdal 30b;0;0;4;8;2;6;6;0;6;10;26;4;2020-07-08;0;4;0;0;Ja;Ja;4;8
Laakdal 30c;0;0;4;8;2;4;2;0;2;12;28;2;2020-07-08;0;2;0;0;Ja;Ja;4;8
Laakdal 31;0;0;4;8;4;10;0;0;0;6;22;0;2020-07-17;0;0;0;0;Ja;Ja;4;8
Laakdal 6;0;0;4;8;4;4;18;4;14;12;28;5;2020-07-17;0;5;1;26;Ja;Nee;4;8
Laakdal 8;0;0;4;8;4;8;0;0;0;8;24;0;2020-07-17;0;0;0;0;Ja;Ja;4;8
Laakdal 9;0;0;4;8;5;20;135;1;134;-4;12;22;2020-07-10;1;21;0;0;Ja;Ja;4;8
Natuurpuntpoel;0;0;4;8;1;1;0;0;0;15;31;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Nijlen B10;2;52;4;8;5;23;292;259;33;-7;9;41;2020-06-05;0;18;10;260;Nee;Nee;4;8
Nijlen B11;55;1430;8;15;4;17;741;741;0;15;43;222;2020-06-10;0;0;74;1924;Nee;Nee;8;15
Nijlen B12;0;0;4;8;2;2;0;0;0;14;30;0;2020-06-05;0;0;0;0;Ja;Ja;4;8
Nijlen B13;0;0;4;8;1;2;0;0;0;14;30;0;2020-05-06;0;0;0;0;Ja;Ja;4;8
Nijlen B3b;0;0;4;8;1;2;1;0;1;14;30;1;2020-06-10;0;1;0;0;Ja;Ja;4;8
Nijlen B5;0;0;4;8;1;2;0;0;0;14;30;0;2020-06-10;0;0;0;0;Ja;Ja;4;8
Nijlen B6;0;0;4;8;2;3;0;0;0;13;29;0;2020-06-10;0;0;0;0;Ja;Ja;4;8
Nijlen B7;0;0;4;8;2;4;0;0;0;12;28;0;2020-06-10;0;0;0;0;Ja;Ja;4;8
Nijlen B9;0;0;4;8;2;3;0;0;0;13;29;0;2020-05-14;0;0;0;0;Ja;Ja;4;8
Nijlen D1;0;0;4;8;1;8;0;0;0;8;24;0;2020-05-28;0;0;0;0;Ja;Ja;4;8
Nijlen D2;0;0;4;8;2;2;0;0;0;14;30;0;2020-05-28;0;0;0;0;Ja;Ja;4;8
Nijlen D3;0;0;4;8;1;3;0;0;0;13;29;0;2020-05-28;0;0;0;0;Ja;Ja;4;8
